ATM Name,Total amount Withdrawn,Weekday,Festival Religion,Working Day,Holiday Sequence,Day,Month,Year,Rainfall_Status
Big Street ATM,123800,SATURDAY,H,H,WHH,1,1,2011,Light Rain
Mount Road ATM,767900,SATURDAY,C,H,WHH,1,1,2011,Light Rain
Airport ATM,503400,SATURDAY,C,H,WHH,1,1,2011,Light Rain
KK Nagar ATM,945300,SATURDAY,C,H,WHH,1,1,2011,Light Rain
Christ College ATM,287700,SATURDAY,C,H,WHH,1,1,2011,Light Rain
Big Street ATM,52800,SUNDAY,NH,H,HHW,2,1,2011,No Rain
Mount Road ATM,529300,SUNDAY,NH,H,HHW,2,1,2011,No Rain
Airport ATM,268600,SUNDAY,NH,H,HHW,2,1,2011,No Rain
KK Nagar ATM,809400,SUNDAY,NH,H,HHW,2,1,2011,No Rain
Christ College ATM,300000,SUNDAY,NH,H,HHW,2,1,2011,No Rain
Big Street ATM,88100,MONDAY,NH,W,WWW,3,1,2011,Light Rain
Mount Road ATM,897100,MONDAY,NH,W,WWW,3,1,2011,Light Rain
Airport ATM,603900,MONDAY,NH,W,WWW,3,1,2011,Light Rain
KK Nagar ATM,1333100,MONDAY,NH,W,WWW,3,1,2011,Light Rain
Christ College ATM,522800,MONDAY,NH,W,WWW,3,1,2011,Light Rain
Big Street ATM,101600,TUESDAY,NH,W,WWW,4,1,2011,No Rain
Mount Road ATM,826000,TUESDAY,NH,W,WWW,4,1,2011,No Rain
Airport ATM,541600,TUESDAY,NH,W,WWW,4,1,2011,No Rain
KK Nagar ATM,999400,TUESDAY,NH,W,WWW,4,1,2011,No Rain
Christ College ATM,737400,TUESDAY,NH,W,WWW,4,1,2011,No Rain
Big Street ATM,98000,WEDNESDAY,NH,W,WWW,5,1,2011,Light Rain
Mount Road ATM,754400,WEDNESDAY,NH,W,WWW,5,1,2011,Light Rain
Airport ATM,530000,WEDNESDAY,NH,W,WWW,5,1,2011,Light Rain
KK Nagar ATM,959200,WEDNESDAY,NH,W,WWW,5,1,2011,Light Rain
Christ College ATM,387300,WEDNESDAY,NH,W,WWW,5,1,2011,Light Rain
Big Street ATM,85900,THURSDAY,NH,W,WWW,6,1,2011,Light Rain
Mount Road ATM,834200,THURSDAY,NH,W,WWW,6,1,2011,Light Rain
Airport ATM,434500,THURSDAY,NH,W,WWW,6,1,2011,Light Rain
KK Nagar ATM,820700,THURSDAY,NH,W,WWW,6,1,2011,Light Rain
Christ College ATM,430500,THURSDAY,NH,W,WWW,6,1,2011,Light Rain
Big Street ATM,76500,FRIDAY,NH,W,WWW,7,1,2011,No Rain
Mount Road ATM,575300,FRIDAY,NH,W,WWW,7,1,2011,No Rain
Airport ATM,334800,FRIDAY,NH,W,WWW,7,1,2011,No Rain
KK Nagar ATM,833500,FRIDAY,NH,W,WWW,7,1,2011,No Rain
Christ College ATM,345800,FRIDAY,NH,W,WWW,7,1,2011,No Rain
Big Street ATM,128600,SATURDAY,NH,H,WHH,8,1,2011,No Rain
Mount Road ATM,792700,SATURDAY,NH,H,WHH,8,1,2011,No Rain
Airport ATM,518900,SATURDAY,NH,H,WHH,8,1,2011,No Rain
KK Nagar ATM,782100,SATURDAY,NH,H,WHH,8,1,2011,No Rain
Christ College ATM,366500,SATURDAY,NH,H,WHH,8,1,2011,No Rain
Big Street ATM,89000,SUNDAY,NH,H,HHW,9,1,2011,No Rain
Mount Road ATM,751800,SUNDAY,NH,H,HHW,9,1,2011,No Rain
Airport ATM,337100,SUNDAY,NH,H,HHW,9,1,2011,No Rain
KK Nagar ATM,438000,SUNDAY,NH,H,HHW,9,1,2011,No Rain
Christ College ATM,363800,SUNDAY,NH,H,HHW,9,1,2011,No Rain
Big Street ATM,89800,MONDAY,NH,W,HWW,10,1,2011,No Rain
Mount Road ATM,702200,MONDAY,NH,W,HWW,10,1,2011,No Rain
Airport ATM,424200,MONDAY,NH,W,HWW,10,1,2011,No Rain
KK Nagar ATM,949700,MONDAY,NH,W,HWW,10,1,2011,No Rain
Christ College ATM,545400,MONDAY,NH,W,HWW,10,1,2011,No Rain
Big Street ATM,111900,TUESDAY,NH,W,WWW,11,1,2011,No Rain
Mount Road ATM,506000,TUESDAY,NH,W,WWW,11,1,2011,No Rain
Airport ATM,390700,TUESDAY,NH,W,WWW,11,1,2011,No Rain
KK Nagar ATM,837900,TUESDAY,NH,W,WWW,11,1,2011,No Rain
Christ College ATM,343700,TUESDAY,NH,W,WWW,11,1,2011,No Rain
Big Street ATM,42700,WEDNESDAY,NH,W,WWW,12,1,2011,No Rain
Mount Road ATM,647600,WEDNESDAY,NH,W,WWW,12,1,2011,No Rain
Airport ATM,497200,WEDNESDAY,NH,W,WWW,12,1,2011,No Rain
KK Nagar ATM,769600,WEDNESDAY,NH,W,WWW,12,1,2011,No Rain
Christ College ATM,301300,WEDNESDAY,NH,W,WWW,12,1,2011,No Rain
Big Street ATM,81200,THURSDAY,NH,W,WWW,13,1,2011,No Rain
Mount Road ATM,506300,THURSDAY,NH,W,WWW,13,1,2011,No Rain
Airport ATM,411700,THURSDAY,NH,W,WWW,13,1,2011,No Rain
KK Nagar ATM,771400,THURSDAY,NH,W,WWW,13,1,2011,No Rain
Christ College ATM,510300,THURSDAY,NH,W,WWW,13,1,2011,No Rain
Big Street ATM,91100,FRIDAY,NH,W,WWH,14,1,2011,No Rain
Mount Road ATM,451400,FRIDAY,NH,W,WWH,14,1,2011,No Rain
Airport ATM,458500,FRIDAY,NH,W,WWH,14,1,2011,No Rain
KK Nagar ATM,876400,FRIDAY,NH,W,WWH,14,1,2011,No Rain
Christ College ATM,373000,FRIDAY,NH,W,WWH,14,1,2011,No Rain
Big Street ATM,115900,SATURDAY,H,H,WHH,15,1,2011,No Rain
Mount Road ATM,200500,SATURDAY,H,H,WHH,15,1,2011,No Rain
Airport ATM,163300,SATURDAY,H,H,WHH,15,1,2011,No Rain
KK Nagar ATM,321400,SATURDAY,H,H,WHH,15,1,2011,No Rain
Christ College ATM,206800,SATURDAY,H,H,WHH,15,1,2011,No Rain
Big Street ATM,55100,SUNDAY,H,H,HHH,16,1,2011,No Rain
Mount Road ATM,205300,SUNDAY,H,H,HHH,16,1,2011,No Rain
Airport ATM,154100,SUNDAY,H,H,HHH,16,1,2011,No Rain
KK Nagar ATM,274100,SUNDAY,H,H,HHH,16,1,2011,No Rain
Christ College ATM,95200,SUNDAY,H,H,HHH,16,1,2011,No Rain
Big Street ATM,129800,MONDAY,H,H,HHW,17,1,2011,No Rain
Mount Road ATM,221900,MONDAY,H,H,HHW,17,1,2011,No Rain
Airport ATM,100000,MONDAY,H,H,HHW,17,1,2011,No Rain
KK Nagar ATM,524800,MONDAY,H,H,HHW,17,1,2011,No Rain
Christ College ATM,126800,MONDAY,H,H,HHW,17,1,2011,No Rain
Big Street ATM,163600,TUESDAY,NH,W,HWW,18,1,2011,No Rain
