ATM Name,Transaction Date,No Of Withdrawals,No Of XYZ Card Withdrawals,No Of Other Card Withdrawals,Total amount Withdrawn,Amount withdrawn XYZ Card,Amount withdrawn Other Card,Weekday,Festival Religion,Working Day,Holiday Sequence,maxtempC,mintempC,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
Big Street ATM,2011-01-01,50,20,30,123800,41700,82100,SATURDAY,H,H,WHH,29,16,11.6,6,15,03:45 AM,03:28 PM,06:44 AM,06:09 PM,17,24,24,23,6,16,70,0.1,1009,29,9,128,3
Mount Road ATM,2011-01-01,253,67,186,767900,270900,497000,SATURDAY,C,H,WHH,29,16,11.6,6,15,03:45 AM,03:28 PM,06:44 AM,06:09 PM,17,24,24,23,6,16,70,0.1,1009,29,9,128,3
Airport ATM,2011-01-01,98,56,42,503400,347700,155700,SATURDAY,C,H,WHH,29,16,11.6,6,15,03:45 AM,03:28 PM,06:44 AM,06:09 PM,17,24,24,23,6,16,70,0.1,1009,29,9,128,3
KK Nagar ATM,2011-01-01,265,159,106,945300,532600,412700,SATURDAY,C,H,WHH,29,16,11.6,6,15,03:45 AM,03:28 PM,06:44 AM,06:09 PM,17,24,24,23,6,16,70,0.1,1009,29,9,128,3
Christ College ATM,2011-01-01,74,25,49,287700,148200,139500,SATURDAY,C,H,WHH,29,16,11.6,6,15,03:45 AM,03:28 PM,06:44 AM,06:09 PM,17,24,24,23,6,16,70,0.1,1009,29,9,128,3
Big Street ATM,2011-01-02,17,5,12,52800,20900,31900,SUNDAY,NH,H,HHW,29,16,11.6,6,7,04:43 AM,04:23 PM,06:44 AM,06:10 PM,17,24,24,23,7,18,69,0.0,1010,29,9,139,4
Mount Road ATM,2011-01-02,194,50,144,529300,171700,357600,SUNDAY,NH,H,HHW,29,16,11.6,6,7,04:43 AM,04:23 PM,06:44 AM,06:10 PM,17,24,24,23,7,18,69,0.0,1010,29,9,139,4
Airport ATM,2011-01-02,67,53,14,268600,213300,55300,SUNDAY,NH,H,HHW,29,16,11.6,6,7,04:43 AM,04:23 PM,06:44 AM,06:10 PM,17,24,24,23,7,18,69,0.0,1010,29,9,139,4
KK Nagar ATM,2011-01-02,260,155,105,809400,456200,353200,SUNDAY,NH,H,HHW,29,16,11.6,6,7,04:43 AM,04:23 PM,06:44 AM,06:10 PM,17,24,24,23,7,18,69,0.0,1010,29,9,139,4
Christ College ATM,2011-01-02,80,24,56,300000,95600,204400,SUNDAY,NH,H,HHW,29,16,11.6,6,7,04:43 AM,04:23 PM,06:44 AM,06:10 PM,17,24,24,23,7,18,69,0.0,1010,29,9,139,4
Big Street ATM,2011-01-03,24,21,3,88100,77100,11000,MONDAY,NH,W,WWW,28,16,11.6,6,0,05:39 AM,05:20 PM,06:45 AM,06:10 PM,17,22,22,22,13,39,74,0.1,1011,28,9,89,9
Mount Road ATM,2011-01-03,246,115,131,897100,462600,434500,MONDAY,NH,W,WWW,28,16,11.6,6,0,05:39 AM,05:20 PM,06:45 AM,06:10 PM,17,22,22,22,13,39,74,0.1,1011,28,9,89,9
Airport ATM,2011-01-03,109,90,19,603900,501800,102100,MONDAY,NH,W,WWW,28,16,11.6,6,0,05:39 AM,05:20 PM,06:45 AM,06:10 PM,17,22,22,22,13,39,74,0.1,1011,28,9,89,9
KK Nagar ATM,2011-01-03,309,232,77,1333100,1010600,322500,MONDAY,NH,W,WWW,28,16,11.6,6,0,05:39 AM,05:20 PM,06:45 AM,06:10 PM,17,22,22,22,13,39,74,0.1,1011,28,9,89,9
Christ College ATM,2011-01-03,108,46,62,522800,210900,311900,MONDAY,NH,W,WWW,28,16,11.6,6,0,05:39 AM,05:20 PM,06:45 AM,06:10 PM,17,22,22,22,13,39,74,0.1,1011,28,9,89,9
Big Street ATM,2011-01-04,34,12,22,101600,51200,50400,TUESDAY,NH,W,WWW,28,16,11.6,6,0,06:32 AM,06:15 PM,06:45 AM,06:11 PM,16,22,22,22,12,34,72,0.0,1011,28,9,85,8
Mount Road ATM,2011-01-04,246,96,150,826000,374200,451800,TUESDAY,NH,W,WWW,28,16,11.6,6,0,06:32 AM,06:15 PM,06:45 AM,06:11 PM,16,22,22,22,12,34,72,0.0,1011,28,9,85,8
Airport ATM,2011-01-04,113,80,33,541600,418400,123200,TUESDAY,NH,W,WWW,28,16,11.6,6,0,06:32 AM,06:15 PM,06:45 AM,06:11 PM,16,22,22,22,12,34,72,0.0,1011,28,9,85,8
KK Nagar ATM,2011-01-04,225,175,50,999400,798800,200600,TUESDAY,NH,W,WWW,28,16,11.6,6,0,06:32 AM,06:15 PM,06:45 AM,06:11 PM,16,22,22,22,12,34,72,0.0,1011,28,9,85,8
Christ College ATM,2011-01-04,143,41,102,737400,238000,499400,TUESDAY,NH,W,WWW,28,16,11.6,6,0,06:32 AM,06:15 PM,06:45 AM,06:11 PM,16,22,22,22,12,34,72,0.0,1011,28,9,85,8
Big Street ATM,2011-01-05,30,14,16,98000,52700,45300,WEDNESDAY,NH,W,WWW,26,17,11.6,6,0,07:21 AM,07:09 PM,06:46 AM,06:11 PM,18,21,22,21,9,60,82,1.0,1011,26,7,82,7
Mount Road ATM,2011-01-05,211,107,104,754400,437800,316600,WEDNESDAY,NH,W,WWW,26,17,11.6,6,0,07:21 AM,07:09 PM,06:46 AM,06:11 PM,18,21,22,21,9,60,82,1.0,1011,26,7,82,7
Airport ATM,2011-01-05,100,70,30,530000,424400,105600,WEDNESDAY,NH,W,WWW,26,17,11.6,6,0,07:21 AM,07:09 PM,06:46 AM,06:11 PM,18,21,22,21,9,60,82,1.0,1011,26,7,82,7
KK Nagar ATM,2011-01-05,255,209,46,959200,806500,152700,WEDNESDAY,NH,W,WWW,26,17,11.6,6,0,07:21 AM,07:09 PM,06:46 AM,06:11 PM,18,21,22,21,9,60,82,1.0,1011,26,7,82,7
Christ College ATM,2011-01-05,95,41,54,387300,213600,173700,WEDNESDAY,NH,W,WWW,26,17,11.6,6,0,07:21 AM,07:09 PM,06:46 AM,06:11 PM,18,21,22,21,9,60,82,1.0,1011,26,7,82,7
