ATM Name,Transaction Date,Total amount Withdrawn,Weekday,Type,isYesterdayHoliday,isHoliday,isTomorrowHoliday,isYesterdayWeekday,isTomorrowWeekday,isWeekday,Rainfall Status
Big Street ATM,2011-01-01,123800,SATURDAY,Restricted Holiday,False,True,True,True,False,False,Light Rain
Mount Road ATM,2011-01-01,767900,SATURDAY,Restricted Holiday,False,True,True,True,False,False,Light Rain
Airport ATM,2011-01-01,503400,SATURDAY,Restricted Holiday,False,True,True,True,False,False,Light Rain
KK Nagar ATM,2011-01-01,945300,SATURDAY,Restricted Holiday,False,True,True,True,False,False,Light Rain
Christ College ATM,2011-01-01,287700,SATURDAY,Restricted Holiday,False,True,True,True,False,False,Light Rain
Big Street ATM,2011-01-02,52800,SUNDAY,No Holiday,True,False,False,False,True,False,No Rain
Mount Road ATM,2011-01-02,529300,SUNDAY,No Holiday,True,False,False,False,True,False,No Rain
Airport ATM,2011-01-02,268600,SUNDAY,No Holiday,True,False,False,False,True,False,No Rain
KK Nagar ATM,2011-01-02,809400,SUNDAY,No Holiday,True,False,False,False,True,False,No Rain
Christ College ATM,2011-01-02,300000,SUNDAY,No Holiday,True,False,False,False,True,False,No Rain
Big Street ATM,2011-01-03,88100,MONDAY,No Holiday,False,False,False,False,True,True,Light Rain
Mount Road ATM,2011-01-03,897100,MONDAY,No Holiday,False,False,False,False,True,True,Light Rain
Airport ATM,2011-01-03,603900,MONDAY,No Holiday,False,False,False,False,True,True,Light Rain
KK Nagar ATM,2011-01-03,1333100,MONDAY,No Holiday,False,False,False,False,True,True,Light Rain
Christ College ATM,2011-01-03,522800,MONDAY,No Holiday,False,False,False,False,True,True,Light Rain
Big Street ATM,2011-01-04,101600,TUESDAY,No Holiday,False,False,True,True,True,True,No Rain
Mount Road ATM,2011-01-04,826000,TUESDAY,No Holiday,False,False,True,True,True,True,No Rain
Airport ATM,2011-01-04,541600,TUESDAY,No Holiday,False,False,True,True,True,True,No Rain
KK Nagar ATM,2011-01-04,999400,TUESDAY,No Holiday,False,False,True,True,True,True,No Rain
Christ College ATM,2011-01-04,737400,TUESDAY,No Holiday,False,False,True,True,True,True,No Rain
Big Street ATM,2011-01-05,98000,WEDNESDAY,Restricted Holiday,False,True,False,True,True,True,Light Rain
Mount Road ATM,2011-01-05,754400,WEDNESDAY,Restricted Holiday,False,True,False,True,True,True,Light Rain
Airport ATM,2011-01-05,530000,WEDNESDAY,Restricted Holiday,False,True,False,True,True,True,Light Rain
KK Nagar ATM,2011-01-05,959200,WEDNESDAY,Restricted Holiday,False,True,False,True,True,True,Light Rain
Christ College ATM,2011-01-05,387300,WEDNESDAY,Restricted Holiday,False,True,False,True,True,True,Light Rain
Big Street ATM,2011-01-06,85900,THURSDAY,No Holiday,True,False,False,True,True,True,Light Rain
Mount Road ATM,2011-01-06,834200,THURSDAY,No Holiday,True,False,False,True,True,True,Light Rain
Airport ATM,2011-01-06,434500,THURSDAY,No Holiday,True,False,False,True,True,True,Light Rain
KK Nagar ATM,2011-01-06,820700,THURSDAY,No Holiday,True,False,False,True,True,True,Light Rain
Christ College ATM,2011-01-06,430500,THURSDAY,No Holiday,True,False,False,True,True,True,Light Rain
Big Street ATM,2011-01-07,76500,FRIDAY,No Holiday,False,False,False,True,False,True,No Rain
Mount Road ATM,2011-01-07,575300,FRIDAY,No Holiday,False,False,False,True,False,True,No Rain
Airport ATM,2011-01-07,334800,FRIDAY,No Holiday,False,False,False,True,False,True,No Rain
KK Nagar ATM,2011-01-07,833500,FRIDAY,No Holiday,False,False,False,True,False,True,No Rain
Christ College ATM,2011-01-07,345800,FRIDAY,No Holiday,False,False,False,True,False,True,No Rain
Big Street ATM,2011-01-08,128600,SATURDAY,No Holiday,False,False,False,True,False,False,No Rain
Mount Road ATM,2011-01-08,792700,SATURDAY,No Holiday,False,False,False,True,False,False,No Rain
Airport ATM,2011-01-08,518900,SATURDAY,No Holiday,False,False,False,True,False,False,No Rain
KK Nagar ATM,2011-01-08,782100,SATURDAY,No Holiday,False,False,False,True,False,False,No Rain
Christ College ATM,2011-01-08,366500,SATURDAY,No Holiday,False,False,False,True,False,False,No Rain
Big Street ATM,2011-01-09,89000,SUNDAY,No Holiday,False,False,False,False,True,False,No Rain
Mount Road ATM,2011-01-09,751800,SUNDAY,No Holiday,False,False,False,False,True,False,No Rain
Airport ATM,2011-01-09,337100,SUNDAY,No Holiday,False,False,False,False,True,False,No Rain
KK Nagar ATM,2011-01-09,438000,SUNDAY,No Holiday,False,False,False,False,True,False,No Rain
Christ College ATM,2011-01-09,363800,SUNDAY,No Holiday,False,False,False,False,True,False,No Rain
Big Street ATM,2011-01-10,89800,MONDAY,No Holiday,False,False,False,False,True,True,No Rain
Mount Road ATM,2011-01-10,702200,MONDAY,No Holiday,False,False,False,False,True,True,No Rain
Airport ATM,2011-01-10,424200,MONDAY,No Holiday,False,False,False,False,True,True,No Rain
KK Nagar ATM,2011-01-10,949700,MONDAY,No Holiday,False,False,False,False,True,True,No Rain
Christ College ATM,2011-01-10,545400,MONDAY,No Holiday,False,False,False,False,True,True,No Rain
Big Street ATM,2011-01-11,111900,TUESDAY,No Holiday,False,False,False,True,True,True,No Rain
Mount Road ATM,2011-01-11,506000,TUESDAY,No Holiday,False,False,False,True,True,True,No Rain
Airport ATM,2011-01-11,390700,TUESDAY,No Holiday,False,False,False,True,True,True,No Rain
KK Nagar ATM,2011-01-11,837900,TUESDAY,No Holiday,False,False,False,True,True,True,No Rain
Christ College ATM,2011-01-11,343700,TUESDAY,No Holiday,False,False,False,True,True,True,No Rain
Big Street ATM,2011-01-12,42700,WEDNESDAY,No Holiday,False,False,False,True,True,True,No Rain
Mount Road ATM,2011-01-12,647600,WEDNESDAY,No Holiday,False,False,False,True,True,True,No Rain
Airport ATM,2011-01-12,497200,WEDNESDAY,No Holiday,False,False,False,True,True,True,No Rain
KK Nagar ATM,2011-01-12,769600,WEDNESDAY,No Holiday,False,False,False,True,True,True,No Rain
Christ College ATM,2011-01-12,301300,WEDNESDAY,No Holiday,False,False,False,True,True,True,No Rain
Big Street ATM,2011-01-13,81200,THURSDAY,No Holiday,False,False,False,True,True,True,No Rain
Mount Road ATM,2011-01-13,506300,THURSDAY,No Holiday,False,False,False,True,True,True,No Rain
Airport ATM,2011-01-13,411700,THURSDAY,No Holiday,False,False,False,True,True,True,No Rain
KK Nagar ATM,2011-01-13,771400,THURSDAY,No Holiday,False,False,False,True,True,True,No Rain
Christ College ATM,2011-01-13,510300,THURSDAY,No Holiday,False,False,False,True,True,True,No Rain
Big Street ATM,2011-01-14,91100,FRIDAY,No Holiday,False,False,True,True,False,True,No Rain
Mount Road ATM,2011-01-14,451400,FRIDAY,No Holiday,False,False,True,True,False,True,No Rain
Airport ATM,2011-01-14,458500,FRIDAY,No Holiday,False,False,True,True,False,True,No Rain
KK Nagar ATM,2011-01-14,876400,FRIDAY,No Holiday,False,False,True,True,False,True,No Rain
Christ College ATM,2011-01-14,373000,FRIDAY,No Holiday,False,False,True,True,False,True,No Rain
Big Street ATM,2011-01-15,115900,SATURDAY,Restricted Holiday,False,True,False,True,False,False,No Rain
Mount Road ATM,2011-01-15,200500,SATURDAY,Restricted Holiday,False,True,False,True,False,False,No Rain
Airport ATM,2011-01-15,163300,SATURDAY,Restricted Holiday,False,True,False,True,False,False,No Rain
KK Nagar ATM,2011-01-15,321400,SATURDAY,Restricted Holiday,False,True,False,True,False,False,No Rain
Christ College ATM,2011-01-15,206800,SATURDAY,Restricted Holiday,False,True,False,True,False,False,No Rain
Big Street ATM,2011-01-16,55100,SUNDAY,No Holiday,True,False,False,False,True,False,No Rain
Mount Road ATM,2011-01-16,205300,SUNDAY,No Holiday,True,False,False,False,True,False,No Rain
Airport ATM,2011-01-16,154100,SUNDAY,No Holiday,True,False,False,False,True,False,No Rain
KK Nagar ATM,2011-01-16,274100,SUNDAY,No Holiday,True,False,False,False,True,False,No Rain
Christ College ATM,2011-01-16,95200,SUNDAY,No Holiday,True,False,False,False,True,False,No Rain
Big Street ATM,2011-01-17,129800,MONDAY,No Holiday,False,False,False,False,True,True,No Rain
Mount Road ATM,2011-01-17,221900,MONDAY,No Holiday,False,False,False,False,True,True,No Rain
Airport ATM,2011-01-17,100000,MONDAY,No Holiday,False,False,False,False,True,True,No Rain
KK Nagar ATM,2011-01-17,524800,MONDAY,No Holiday,False,False,False,False,True,True,No Rain
Christ College ATM,2011-01-17,126800,MONDAY,No Holiday,False,False,False,False,True,True,No Rain
Big Street ATM,2011-01-18,163600,TUESDAY,No Holiday,False,False,False,True,True,True,No Rain
Mount Road ATM,2011-01-18,405200,TUESDAY,No Holiday,False,False,False,True,True,True,No Rain
Airport ATM,2011-01-18,343100,TUESDAY,No Holiday,False,False,False,True,True,True,No Rain
KK Nagar ATM,2011-01-18,831200,TUESDAY,No Holiday,False,False,False,True,True,True,No Rain
Christ College ATM,2011-01-18,380000,TUESDAY,No Holiday,False,False,False,True,True,True,No Rain
Big Street ATM,2011-01-19,79500,WEDNESDAY,No Holiday,False,False,False,True,True,True,No Rain
Mount Road ATM,2011-01-19,537700,WEDNESDAY,No Holiday,False,False,False,True,True,True,No Rain
Airport ATM,2011-01-19,428900,WEDNESDAY,No Holiday,False,False,False,True,True,True,No Rain
KK Nagar ATM,2011-01-19,649200,WEDNESDAY,No Holiday,False,False,False,True,True,True,No Rain
Christ College ATM,2011-01-19,446800,WEDNESDAY,No Holiday,False,False,False,True,True,True,No Rain
Big Street ATM,2011-01-20,81700,THURSDAY,No Holiday,False,False,False,True,True,True,No Rain
Mount Road ATM,2011-01-20,565500,THURSDAY,No Holiday,False,False,False,True,True,True,No Rain
Airport ATM,2011-01-20,298000,THURSDAY,No Holiday,False,False,False,True,True,True,No Rain
KK Nagar ATM,2011-01-20,445900,THURSDAY,No Holiday,False,False,False,True,True,True,No Rain
Christ College ATM,2011-01-20,571300,THURSDAY,No Holiday,False,False,False,True,True,True,No Rain
Big Street ATM,2011-01-21,86600,FRIDAY,No Holiday,False,False,False,True,False,True,No Rain
Mount Road ATM,2011-01-21,450400,FRIDAY,No Holiday,False,False,False,True,False,True,No Rain
Airport ATM,2011-01-21,350000,FRIDAY,No Holiday,False,False,False,True,False,True,No Rain
KK Nagar ATM,2011-01-21,581500,FRIDAY,No Holiday,False,False,False,True,False,True,No Rain
Christ College ATM,2011-01-21,386800,FRIDAY,No Holiday,False,False,False,True,False,True,No Rain
Big Street ATM,2011-01-22,85400,SATURDAY,No Holiday,False,False,False,True,False,False,No Rain
Mount Road ATM,2011-01-22,455600,SATURDAY,No Holiday,False,False,False,True,False,False,No Rain
Airport ATM,2011-01-22,363600,SATURDAY,No Holiday,False,False,False,True,False,False,No Rain
KK Nagar ATM,2011-01-22,683300,SATURDAY,No Holiday,False,False,False,True,False,False,No Rain
Christ College ATM,2011-01-22,465300,SATURDAY,No Holiday,False,False,False,True,False,False,No Rain
Big Street ATM,2011-01-23,36800,SUNDAY,No Holiday,False,False,False,False,True,False,No Rain
Mount Road ATM,2011-01-23,352100,SUNDAY,No Holiday,False,False,False,False,True,False,No Rain
Airport ATM,2011-01-23,288500,SUNDAY,No Holiday,False,False,False,False,True,False,No Rain
KK Nagar ATM,2011-01-23,290000,SUNDAY,No Holiday,False,False,False,False,True,False,No Rain
Christ College ATM,2011-01-23,212500,SUNDAY,No Holiday,False,False,False,False,True,False,No Rain
Big Street ATM,2011-01-24,103900,MONDAY,No Holiday,False,False,False,False,True,True,No Rain
Mount Road ATM,2011-01-24,498900,MONDAY,No Holiday,False,False,False,False,True,True,No Rain
Airport ATM,2011-01-24,247800,MONDAY,No Holiday,False,False,False,False,True,True,No Rain
KK Nagar ATM,2011-01-24,800500,MONDAY,No Holiday,False,False,False,False,True,True,No Rain
Christ College ATM,2011-01-24,410800,MONDAY,No Holiday,False,False,False,False,True,True,No Rain
Big Street ATM,2011-01-25,139900,TUESDAY,No Holiday,False,False,True,True,True,True,No Rain
Mount Road ATM,2011-01-25,439300,TUESDAY,No Holiday,False,False,True,True,True,True,No Rain
Airport ATM,2011-01-25,363100,TUESDAY,No Holiday,False,False,True,True,True,True,No Rain
KK Nagar ATM,2011-01-25,617000,TUESDAY,No Holiday,False,False,True,True,True,True,No Rain
Christ College ATM,2011-01-25,325900,TUESDAY,No Holiday,False,False,True,True,True,True,No Rain
Big Street ATM,2011-01-26,40500,WEDNESDAY,Gazetted Holiday,False,True,False,True,True,True,No Rain
Mount Road ATM,2011-01-26,255400,WEDNESDAY,Gazetted Holiday,False,True,False,True,True,True,No Rain
Airport ATM,2011-01-26,248200,WEDNESDAY,Gazetted Holiday,False,True,False,True,True,True,No Rain
KK Nagar ATM,2011-01-26,485900,WEDNESDAY,Gazetted Holiday,False,True,False,True,True,True,No Rain
Christ College ATM,2011-01-26,258400,WEDNESDAY,Gazetted Holiday,False,True,False,True,True,True,No Rain
Big Street ATM,2011-01-27,83300,THURSDAY,No Holiday,True,False,False,True,True,True,No Rain
Mount Road ATM,2011-01-27,461500,THURSDAY,No Holiday,True,False,False,True,True,True,No Rain
Airport ATM,2011-01-27,402100,THURSDAY,No Holiday,True,False,False,True,True,True,No Rain
KK Nagar ATM,2011-01-27,722900,THURSDAY,No Holiday,True,False,False,True,True,True,No Rain
Christ College ATM,2011-01-27,336300,THURSDAY,No Holiday,True,False,False,True,True,True,No Rain
Big Street ATM,2011-01-28,71300,FRIDAY,No Holiday,False,False,False,True,False,True,No Rain
Mount Road ATM,2011-01-28,336300,FRIDAY,No Holiday,False,False,False,True,False,True,No Rain
Airport ATM,2011-01-28,191800,FRIDAY,No Holiday,False,False,False,True,False,True,No Rain
KK Nagar ATM,2011-01-28,874200,FRIDAY,No Holiday,False,False,False,True,False,True,No Rain
Christ College ATM,2011-01-28,254500,FRIDAY,No Holiday,False,False,False,True,False,True,No Rain
Big Street ATM,2011-01-29,163500,SATURDAY,No Holiday,False,False,False,True,False,False,No Rain
Mount Road ATM,2011-01-29,428000,SATURDAY,No Holiday,False,False,False,True,False,False,No Rain
Airport ATM,2011-01-29,384600,SATURDAY,No Holiday,False,False,False,True,False,False,No Rain
KK Nagar ATM,2011-01-29,1082200,SATURDAY,No Holiday,False,False,False,True,False,False,No Rain
Christ College ATM,2011-01-29,463400,SATURDAY,No Holiday,False,False,False,True,False,False,No Rain
Big Street ATM,2011-01-30,41100,SUNDAY,No Holiday,False,False,False,False,True,False,No Rain
Mount Road ATM,2011-01-30,296400,SUNDAY,No Holiday,False,False,False,False,True,False,No Rain
Airport ATM,2011-01-30,194400,SUNDAY,No Holiday,False,False,False,False,True,False,No Rain
KK Nagar ATM,2011-01-30,517100,SUNDAY,No Holiday,False,False,False,False,True,False,No Rain
Christ College ATM,2011-01-30,277200,SUNDAY,No Holiday,False,False,False,False,True,False,No Rain
Big Street ATM,2011-01-31,70800,MONDAY,No Holiday,False,False,False,False,True,True,No Rain
Mount Road ATM,2011-01-31,515100,MONDAY,No Holiday,False,False,False,False,True,True,No Rain
Airport ATM,2011-01-31,526000,MONDAY,No Holiday,False,False,False,False,True,True,No Rain
KK Nagar ATM,2011-01-31,1310300,MONDAY,No Holiday,False,False,False,False,True,True,No Rain
Christ College ATM,2011-01-31,369100,MONDAY,No Holiday,False,False,False,False,True,True,No Rain
Big Street ATM,2011-02-01,161700,TUESDAY,No Holiday,False,False,False,True,True,True,No Rain
Mount Road ATM,2011-02-01,631800,TUESDAY,No Holiday,False,False,False,True,True,True,No Rain
Airport ATM,2011-02-01,578100,TUESDAY,No Holiday,False,False,False,True,True,True,No Rain
KK Nagar ATM,2011-02-01,958300,TUESDAY,No Holiday,False,False,False,True,True,True,No Rain
Christ College ATM,2011-02-01,432000,TUESDAY,No Holiday,False,False,False,True,True,True,No Rain
Big Street ATM,2011-02-02,79200,WEDNESDAY,No Holiday,False,False,False,True,True,True,No Rain
Mount Road ATM,2011-02-02,714900,WEDNESDAY,No Holiday,False,False,False,True,True,True,No Rain
Airport ATM,2011-02-02,472000,WEDNESDAY,No Holiday,False,False,False,True,True,True,No Rain
KK Nagar ATM,2011-02-02,1159900,WEDNESDAY,No Holiday,False,False,False,True,True,True,No Rain
Christ College ATM,2011-02-02,714600,WEDNESDAY,No Holiday,False,False,False,True,True,True,No Rain
Big Street ATM,2011-02-03,167800,THURSDAY,No Holiday,False,False,False,True,True,True,No Rain
Mount Road ATM,2011-02-03,593000,THURSDAY,No Holiday,False,False,False,True,True,True,No Rain
Airport ATM,2011-02-03,467800,THURSDAY,No Holiday,False,False,False,True,True,True,No Rain
KK Nagar ATM,2011-02-03,823400,THURSDAY,No Holiday,False,False,False,True,True,True,No Rain
Christ College ATM,2011-02-03,359800,THURSDAY,No Holiday,False,False,False,True,True,True,No Rain
Big Street ATM,2011-02-04,112700,FRIDAY,No Holiday,False,False,False,True,False,True,No Rain
Mount Road ATM,2011-02-04,615700,FRIDAY,No Holiday,False,False,False,True,False,True,No Rain
Airport ATM,2011-02-04,534800,FRIDAY,No Holiday,False,False,False,True,False,True,No Rain
KK Nagar ATM,2011-02-04,919100,FRIDAY,No Holiday,False,False,False,True,False,True,No Rain
Christ College ATM,2011-02-04,382500,FRIDAY,No Holiday,False,False,False,True,False,True,No Rain
Big Street ATM,2011-02-05,144000,SATURDAY,No Holiday,False,False,False,True,False,False,No Rain
Mount Road ATM,2011-02-05,1007100,SATURDAY,No Holiday,False,False,False,True,False,False,No Rain
Airport ATM,2011-02-05,520200,SATURDAY,No Holiday,False,False,False,True,False,False,No Rain
KK Nagar ATM,2011-02-05,767500,SATURDAY,No Holiday,False,False,False,True,False,False,No Rain
Christ College ATM,2011-02-05,429800,SATURDAY,No Holiday,False,False,False,True,False,False,No Rain
Big Street ATM,2011-02-06,110400,SUNDAY,No Holiday,False,False,False,False,True,False,No Rain
Mount Road ATM,2011-02-06,499900,SUNDAY,No Holiday,False,False,False,False,True,False,No Rain
Airport ATM,2011-02-06,478900,SUNDAY,No Holiday,False,False,False,False,True,False,No Rain
KK Nagar ATM,2011-02-06,387400,SUNDAY,No Holiday,False,False,False,False,True,False,No Rain
Christ College ATM,2011-02-06,292300,SUNDAY,No Holiday,False,False,False,False,True,False,No Rain
Big Street ATM,2011-02-07,80300,MONDAY,No Holiday,False,False,False,False,True,True,No Rain
Mount Road ATM,2011-02-07,622800,MONDAY,No Holiday,False,False,False,False,True,True,No Rain
Airport ATM,2011-02-07,440400,MONDAY,No Holiday,False,False,False,False,True,True,No Rain
KK Nagar ATM,2011-02-07,849600,MONDAY,No Holiday,False,False,False,False,True,True,No Rain
Christ College ATM,2011-02-07,430000,MONDAY,No Holiday,False,False,False,False,True,True,No Rain
Big Street ATM,2011-02-08,175300,TUESDAY,No Holiday,False,False,False,True,True,True,No Rain
Mount Road ATM,2011-02-08,620200,TUESDAY,No Holiday,False,False,False,True,True,True,No Rain
Airport ATM,2011-02-08,609200,TUESDAY,No Holiday,False,False,False,True,True,True,No Rain
KK Nagar ATM,2011-02-08,798000,TUESDAY,No Holiday,False,False,False,True,True,True,No Rain
Christ College ATM,2011-02-08,343000,TUESDAY,No Holiday,False,False,False,True,True,True,No Rain
Big Street ATM,2011-02-09,94600,WEDNESDAY,No Holiday,False,False,False,True,True,True,No Rain
Mount Road ATM,2011-02-09,649100,WEDNESDAY,No Holiday,False,False,False,True,True,True,No Rain
Airport ATM,2011-02-09,507800,WEDNESDAY,No Holiday,False,False,False,True,True,True,No Rain
KK Nagar ATM,2011-02-09,1003900,WEDNESDAY,No Holiday,False,False,False,True,True,True,No Rain
Christ College ATM,2011-02-09,381600,WEDNESDAY,No Holiday,False,False,False,True,True,True,No Rain
Big Street ATM,2011-02-10,78100,THURSDAY,No Holiday,False,False,False,True,True,True,No Rain
Mount Road ATM,2011-02-10,508500,THURSDAY,No Holiday,False,False,False,True,True,True,No Rain
Airport ATM,2011-02-10,456800,THURSDAY,No Holiday,False,False,False,True,True,True,No Rain
KK Nagar ATM,2011-02-10,767000,THURSDAY,No Holiday,False,False,False,True,True,True,No Rain
Christ College ATM,2011-02-10,348300,THURSDAY,No Holiday,False,False,False,True,True,True,No Rain
Big Street ATM,2011-02-11,107400,FRIDAY,No Holiday,False,False,False,True,False,True,No Rain
Mount Road ATM,2011-02-11,462500,FRIDAY,No Holiday,False,False,False,True,False,True,No Rain
Airport ATM,2011-02-11,406100,FRIDAY,No Holiday,False,False,False,True,False,True,No Rain
KK Nagar ATM,2011-02-11,615500,FRIDAY,No Holiday,False,False,False,True,False,True,No Rain
Christ College ATM,2011-02-11,413300,FRIDAY,No Holiday,False,False,False,True,False,True,No Rain
Big Street ATM,2011-02-12,143200,SATURDAY,No Holiday,False,False,False,True,False,False,No Rain
Mount Road ATM,2011-02-12,357100,SATURDAY,No Holiday,False,False,False,True,False,False,No Rain
Airport ATM,2011-02-12,429200,SATURDAY,No Holiday,False,False,False,True,False,False,No Rain
KK Nagar ATM,2011-02-12,802500,SATURDAY,No Holiday,False,False,False,True,False,False,No Rain
Christ College ATM,2011-02-12,452900,SATURDAY,No Holiday,False,False,False,True,False,False,No Rain
Big Street ATM,2011-02-13,74900,SUNDAY,No Holiday,False,False,True,False,True,False,No Rain
