Date,Name,Weekday,Type
2011-01-01,New Year's Day,SATURDAY,Restricted Holiday
2011-01-05,Guru Govind Singh Jayanti,WEDNESDAY,Restricted Holiday
2011-01-15,Pongal,SATURDAY,Restricted Holiday
2011-01-26,Republic Day,WEDNESDAY,Gazetted Holiday
2011-02-03,Chinese New Year,THURSDAY,Observance
2011-02-08,Vasant Panchami,MONDAY,Restricted Holiday
2011-02-14,Valentine's Day,MONDAY,Observance
2011-02-16,Milad un-Nabi/Id-e-Milad,WEDNESDAY,Gazetted Holiday
2011-02-18,Guru Ravidas Jayanti,FRIDAY,Restricted Holiday
2011-02-19,Shivaji Jayanti,SATURDAY,Restricted Holiday
2011-02-27,Maharishi Dayanand Saraswati Jayanti,SUNDAY,Restricted Holiday
2011-03-02,Maha Shivaratri/Shivaratri,WEDNESDAY,Gazetted Holiday
2011-03-19,Holika Dahana,SATURDAY,Restricted Holiday
2011-03-21,March Equinox,MONDAY,Season
2011-03-20,Holi,SUNDAY,Restricted Holiday
2011-04-04,Chaitra Sukhladi,MONDAY,Restricted Holiday
2011-04-12,Rama Navami,MONDAY,Gazetted Holiday
2011-04-14,Vaisakhi,THURSDAY,Restricted Holiday
2011-04-14,Ambedkar Jayanti,THURSDAY,Observance
2011-04-16,Mahavir Jayanti,SATURDAY,Gazetted Holiday
2011-04-19,First day of Passover,MONDAY,Observance
2011-04-21,Maundy Thursday,THURSDAY,"Observance, Christian"
2011-04-22,Good Friday,FRIDAY,Gazetted Holiday
2011-04-24,Easter Day,SUNDAY,Restricted Holiday
2011-05-01,May Day,SUNDAY,Observance
2011-05-08,Mother's Day,SUNDAY,Observance
2011-05-09,Birthday of Ravindranath,MONDAY,Restricted Holiday
2011-05-17,Buddha Purnima/Vesak,MONDAY,Gazetted Holiday
2011-06-16,Hazarat Ali's Birthday,THURSDAY,Restricted Holiday
2011-06-19,Father's Day,SUNDAY,Observance
2011-06-21,June Solstice,MONDAY,Season
2011-07-03,Rath Yatra,SUNDAY,Restricted Holiday
2011-07-15,Guru Purnima,FRIDAY,Observance
2011-08-07,Friendship Day,SUNDAY,Observance
2011-08-13,Raksha Bandhan (Rakhi),SATURDAY,Restricted Holiday
2011-08-15,Independence Day,MONDAY,Gazetted Holiday
2011-08-19,Parsi New Year,FRIDAY,Restricted Holiday
2011-08-22,Janmashtami,MONDAY,Gazetted Holiday
2011-08-26,Jamat Ul-Vida,FRIDAY,Restricted Holiday
2011-08-31,Ramzan Id/Eid-ul-Fitar,WEDNESDAY,"Muslim, Common local holiday"
2011-09-01,Ganesh Chaturthi/Vinayaka Chaturthi,THURSDAY,Restricted Holiday
2011-09-09,Onam,FRIDAY,Restricted Holiday
2011-09-23,September Equinox,FRIDAY,Season
2011-10-02,Mahatma Gandhi Jayanti,SUNDAY,Gazetted Holiday
