Date,Name,Weekday,Type
2020-02-01,Carnavales,SATURDAY,Observance
2020-02-02,Fiesta de la Virgen de la Candelaria,SUNDAY,Observance
2020-02-14,Día de San Valentín,FRIDAY,Observance
2020-04-05,Semana Santa (Holy Week),SUNDAY,Observance
2020-03-01,Vine Harvest Festival,SUNDAY,Observance
2020-06-24,San Juan Festival,WEDNESDAY,Observance
2020-07-06,Day of the Friend,MONDAY,Observance
2020-08-16,Children's Day,SUNDAY,Observance
2020-10-01,Feria del Señor de los Milagros,THURSDAY,Observance
2020-10-31,Halloween,SATURDAY,Observance
2020-10-31,Day of the Creole Song,SATURDAY,Observance
2020-12-24,Nochebuena,THURSDAY,Observance
2020-12-31,Año Nuevo,THURSDAY,Observance
2021-02-01,Carnavales,MONDAY,Observance
2021-02-02,Fiesta de la Virgen de la Candelaria,TUESDAY,Observance
2021-02-14,Día de San Valentín,SUNDAY,Observance
2021-03-28,Semana Santa (Holy Week),SUNDAY,Observance
2021-03-01,Vine Harvest Festival,MONDAY,Observance
2021-06-24,San Juan Festival,THURSDAY,Observance
2021-07-06,Day of the Friend,TUESDAY,Observance
2021-08-15,Children's Day,SUNDAY,Observance
2021-10-01,Feria del Señor de los Milagros,FRIDAY,Observance
2021-10-31,Halloween,SUNDAY,Observance
2021-10-31,Day of the Creole Song,SUNDAY,Observance
2021-12-24,Nochebuena,FRIDAY,Observance
2021-12-31,Año Nuevo,FRIDAY,Observance
2022-02-01,Carnavales,TUESDAY,Observance
2022-02-02,Fiesta de la Virgen de la Candelaria,WEDNESDAY,Observance
2022-02-14,Día de San Valentín,MONDAY,Observance
2022-04-10,Semana Santa (Holy Week),SUNDAY,Observance
2022-03-01,Vine Harvest Festival,TUESDAY,Observance
2022-06-24,San Juan Festival,FRIDAY,Observance
2022-07-06,Day of the Friend,WEDNESDAY,Observance
2022-08-21,Children's Day,SUNDAY,Observance
2022-10-01,Feria del Señor de los Milagros,SATURDAY,Observance
2022-10-31,Halloween,MONDAY,Observance
2022-10-31,Day of the Creole Song,MONDAY,Observance
2022-12-24,Nochebuena,SATURDAY,Observance
2022-12-31,Año Nuevo,SATURDAY,Observance
2023-02-01,Carnavales,WEDNESDAY,Observance
2023-02-02,Fiesta de la Virgen de la Candelaria,THURSDAY,Observance
2023-02-14,Día de San Valentín,TUESDAY,Observance
2023-04-02,Semana Santa (Holy Week),SUNDAY,Observance
2023-03-01,Vine Harvest Festival,WEDNESDAY,Observance
2023-06-24,San Juan Festival,SATURDAY,Observance
2023-07-06,Day of the Friend,THURSDAY,Observance
2023-08-20,Children's Day,SUNDAY,Observance
2023-10-01,Feria del Señor de los Milagros,SUNDAY,Observance
2023-10-31,Halloween,TUESDAY,Observance
2023-10-31,Day of the Creole Song,TUESDAY,Observance
2023-12-24,Nochebuena,SUNDAY,Observance
2023-12-31,Año Nuevo,SUNDAY,Observance
2024-02-01,Carnavales,THURSDAY,Observance
2024-02-02,Fiesta de la Virgen de la Candelaria,FRIDAY,Observance
2024-02-14,Día de San Valentín,WEDNESDAY,Observance
2024-03-24,Semana Santa (Holy Week),SUNDAY,Observance
2024-03-01,Vine Harvest Festival,FRIDAY,Observance
2024-06-24,San Juan Festival,MONDAY,Observance
2024-07-06,Day of the Friend,SATURDAY,Observance
2024-08-18,Children's Day,SUNDAY,Observance
2024-10-01,Feria del Señor de los Milagros,TUESDAY,Observance
2024-10-31,Halloween,THURSDAY,Observance
2024-10-31,Day of the Creole Song,THURSDAY,Observance
2024-12-24,Nochebuena,TUESDAY,Observance
2024-12-31,Año Nuevo,TUESDAY,Observance
