Transaction Date,Total amount Withdrawn,Weekday,Type,isYesterdayHoliday,isHoliday,isTomorrowHoliday,Rainfall Status,Prev_Week_Mean
2011-01-01,123800,SATURDAY,Restricted Holiday,False,True,True,Light Rain,0.0
2011-01-02,52800,SUNDAY,No Holiday,True,False,False,No Rain,0.0
2011-01-03,88100,MONDAY,No Holiday,False,False,False,Light Rain,0.0
2011-01-04,101600,TUESDAY,No Holiday,False,False,True,No Rain,0.0
2011-01-05,98000,WEDNESDAY,Restricted Holiday,False,True,False,Light Rain,0.0
2011-01-06,85900,THURSDAY,No Holiday,True,False,False,Light Rain,0.0
2011-01-07,76500,FRIDAY,No Holiday,False,False,False,No Rain,89528.57142857143
2011-01-08,128600,SATURDAY,No Holiday,False,False,False,No Rain,90214.28571428571
2011-01-09,89000,SUNDAY,No Holiday,False,False,False,No Rain,95385.71428571429
2011-01-10,89800,MONDAY,No Holiday,False,False,False,No Rain,95628.57142857143
2011-01-11,111900,TUESDAY,No Holiday,False,False,False,No Rain,97100.0
2011-01-12,42700,WEDNESDAY,No Holiday,False,False,False,No Rain,89200.0
2011-01-13,81200,THURSDAY,No Holiday,False,False,False,No Rain,88528.57142857143
2011-01-14,91100,FRIDAY,No Holiday,False,False,True,No Rain,90614.28571428571
2011-01-15,115900,SATURDAY,Restricted Holiday,False,True,False,No Rain,88800.0
2011-01-16,55100,SUNDAY,No Holiday,True,False,False,No Rain,83957.14285714286
2011-01-17,129800,MONDAY,No Holiday,False,False,False,No Rain,89671.42857142857
2011-01-18,163600,TUESDAY,No Holiday,False,False,False,No Rain,97057.14285714286
2011-01-19,79500,WEDNESDAY,No Holiday,False,False,False,No Rain,102314.28571428571
2011-01-20,81700,THURSDAY,No Holiday,False,False,False,No Rain,102385.71428571429
2011-01-21,86600,FRIDAY,No Holiday,False,False,False,No Rain,101742.85714285714
2011-01-22,85400,SATURDAY,No Holiday,False,False,False,No Rain,97385.71428571429
2011-01-23,36800,SUNDAY,No Holiday,False,False,False,No Rain,94771.42857142857
2011-01-24,103900,MONDAY,No Holiday,False,False,False,No Rain,91071.42857142857
2011-01-25,139900,TUESDAY,No Holiday,False,False,True,No Rain,87685.71428571429
2011-01-26,40500,WEDNESDAY,Gazetted Holiday,False,True,False,No Rain,82114.28571428571
2011-01-27,83300,THURSDAY,No Holiday,True,False,False,No Rain,82342.85714285714
2011-01-28,71300,FRIDAY,No Holiday,False,False,False,No Rain,80157.14285714286
2011-01-29,163500,SATURDAY,No Holiday,False,False,False,No Rain,91314.28571428571
2011-01-30,41100,SUNDAY,No Holiday,False,False,False,No Rain,91928.57142857143
2011-01-31,70800,MONDAY,No Holiday,False,False,False,No Rain,87200.0
2011-02-01,161700,TUESDAY,No Holiday,False,False,False,No Rain,90314.28571428571
2011-02-02,79200,WEDNESDAY,No Holiday,False,False,False,No Rain,95842.85714285714
2011-02-03,167800,THURSDAY,No Holiday,False,False,False,No Rain,107914.28571428571
2011-02-04,112700,FRIDAY,No Holiday,False,False,False,No Rain,113828.57142857143
2011-02-05,144000,SATURDAY,No Holiday,False,False,False,No Rain,111042.85714285714
2011-02-06,110400,SUNDAY,No Holiday,False,False,False,No Rain,120942.85714285714
2011-02-07,80300,MONDAY,No Holiday,False,False,False,No Rain,122300.0
2011-02-08,175300,TUESDAY,No Holiday,False,False,False,No Rain,124242.85714285714
2011-02-09,94600,WEDNESDAY,No Holiday,False,False,False,No Rain,126442.85714285714
2011-02-10,78100,THURSDAY,No Holiday,False,False,False,No Rain,113628.57142857143
2011-02-11,107400,FRIDAY,No Holiday,False,False,False,No Rain,112871.42857142857
