Date,Name,Weekday,Type
01-01-2011,New Year's Day,SATURDAY,Restricted Holiday
05-01-2011,Guru Govind Singh Jayanti,WEDNESDAY,Restricted Holiday
15-01-2011,Pongal,SATURDAY,Restricted Holiday
26-01-2011,Republic Day,WEDNESDAY,Gazetted Holiday
14-02-2011,Valentine's Day,MONDAY,Observance
16-02-2011,Milad un-Nabi/Id-e-Milad,WEDNESDAY,Gazetted Holiday
19-02-2011,Shivaji Jayanti,SATURDAY,Restricted Holiday
02-03-2011,Maha Shivaratri/Shivaratri,WEDNESDAY,Gazetted Holiday
19-03-2011,Holika Dahana,SATURDAY,Restricted Holiday
20-03-2011,Holi,SUNDAY,Gazetted Holiday
12-04-2011,Rama Navami,MONDAY,Gazetted Holiday
14-04-2011,Ambedkar Jayanti,THURSDAY,Observance
16-04-2011,Mahavir Jayanti,SATURDAY,Gazetted Holiday
22-04-2011,Good Friday,FRIDAY,Gazetted Holiday
24-04-2011,Easter Day,SUNDAY,Restricted Holiday
01-05-2011,May Day,SUNDAY,Observance
08-05-2011,Mother's Day,SUNDAY,Observance
17-05-2011,Buddha Purnima/Vesak,MONDAY,Gazetted Holiday
19-06-2011,Father's Day,SUNDAY,Observance
15-07-2011,Guru Purnima,FRIDAY,Observance
07-08-2011,Friendship Day,SUNDAY,Observance
13-08-2011,Raksha Bandhan (Rakhi),SATURDAY,Restricted Holiday
15-08-2011,Independence Day,MONDAY,Gazetted Holiday
19-08-2011,Parsi New Year,FRIDAY,Restricted Holiday
22-08-2011,Janmashtami,MONDAY,Gazetted Holiday
26-08-2011,Jamat Ul-Vida,FRIDAY,Restricted Holiday
31-08-2011,Ramzan Id/Eid-ul-Fitar,WEDNESDAY,Gazetted Holiday
01-09-2011,Ganesh Chaturthi/Vinayaka Chaturthi,THURSDAY,Restricted Holiday
09-09-2011,Onam,FRIDAY,Restricted Holiday
02-10-2011,Mahatma Gandhi Jayanti,SUNDAY,Gazetted Holiday
06-10-2011,Dussehra,THURSDAY,Gazetted Holiday
26-10-2011,Diwali/Deepavali,WEDNESDAY,Gazetted Holiday
28-10-2011,Bhai Duj,FRIDAY,Restricted Holiday
31-10-2011,Halloween,MONDAY,Observance
07-11-2011,Bakr Id/Eid ul-Adha,MONDAY,Gazetted Holiday
10-11-2011,Guru Nanak Jayanti,THURSDAY,Gazetted Holiday
06-12-2011,Muharram/Ashura,MONDAY,Gazetted Holiday
24-12-2011,Christmas Eve,SATURDAY,Restricted Holiday
25-12-2011,Christmas,SUNDAY,Gazetted Holiday
31-12-2011,New Year's Eve,SATURDAY,Observance
01-01-2012,New Year's Day,SUNDAY,Restricted Holiday
05-01-2012,Guru Govind Singh Jayanti,THURSDAY,Restricted Holiday
14-01-2012,Pongal,SATURDAY,Restricted Holiday
15-01-2012,Makar Sankranti,SUNDAY,Restricted Holiday
26-01-2012,Republic Day,THURSDAY,Gazetted Holiday
05-02-2012,Milad un-Nabi/Id-e-Milad,SUNDAY,Gazetted Holiday
14-02-2012,Valentine's Day,MONDAY,Observance
19-02-2012,Shivaji Jayanti,SUNDAY,Restricted Holiday
20-02-2012,Maha Shivaratri/Shivaratri,MONDAY,Gazetted Holiday
07-03-2012,Holika Dahana,WEDNESDAY,Restricted Holiday
08-03-2012,Holi,THURSDAY,Gazetted Holiday
01-04-2012,Rama Navami,SUNDAY,Gazetted Holiday
05-04-2012,Mahavir Jayanti,THURSDAY,Gazetted Holiday
06-04-2012,Good Friday,FRIDAY,Gazetted Holiday
08-04-2012,Easter Day,SUNDAY,Restricted Holiday
14-04-2012,Ambedkar Jayanti,SATURDAY,Observance
01-05-2012,May Day,MONDAY,Observance
06-05-2012,Buddha Purnima/Vesak,SUNDAY,Gazetted Holiday
13-05-2012,Mother's Day,SUNDAY,Observance
17-06-2012,Father's Day,SUNDAY,Observance
03-07-2012,Guru Purnima,MONDAY,Observance
02-08-2012,Raksha Bandhan (Rakhi),THURSDAY,Restricted Holiday
05-08-2012,Friendship Day,SUNDAY,Observance
10-08-2012,Janmashtami,FRIDAY,Gazetted Holiday
15-08-2012,Independence Day,WEDNESDAY,Gazetted Holiday
17-08-2012,Jamat Ul-Vida,FRIDAY,Restricted Holiday
18-08-2012,Parsi New Year,SATURDAY,Restricted Holiday
20-08-2012,Ramzan Id/Eid-ul-Fitar,MONDAY,Gazetted Holiday
29-08-2012,Onam,WEDNESDAY,Restricted Holiday
19-09-2012,Ganesh Chaturthi/Vinayaka Chaturthi,WEDNESDAY,Restricted Holiday
02-10-2012,Mahatma Gandhi Jayanti,MONDAY,Gazetted Holiday
24-10-2012,Dussehra,WEDNESDAY,Gazetted Holiday
27-10-2012,Bakr Id/Eid ul-Adha,SATURDAY,Gazetted Holiday
31-10-2012,Halloween,WEDNESDAY,Observance
13-11-2012,Diwali/Deepavali,MONDAY,Gazetted Holiday
15-11-2012,Bhai Duj,THURSDAY,Restricted Holiday
25-11-2012,Muharram/Ashura,SUNDAY,Gazetted Holiday
28-11-2012,Guru Nanak Jayanti,WEDNESDAY,Gazetted Holiday
24-12-2012,Christmas Eve,MONDAY,Restricted Holiday
25-12-2012,Christmas,MONDAY,Gazetted Holiday
31-12-2012,New Year's Eve,MONDAY,Observance
01-01-2013,New Year's Day,MONDAY,Restricted Holiday
13-01-2013,Makar Sankranti,SUNDAY,Restricted Holiday
14-01-2013,Pongal,MONDAY,Restricted Holiday
18-01-2013,Guru Govind Singh Jayanti,FRIDAY,Restricted Holiday
25-01-2013,Milad un-Nabi/Id-e-Milad,FRIDAY,Gazetted Holiday
26-01-2013,Republic Day,SATURDAY,Gazetted Holiday
14-02-2013,Valentine's Day,THURSDAY,Observance
19-02-2013,Shivaji Jayanti,MONDAY,Restricted Holiday
10-03-2013,Maha Shivaratri/Shivaratri,SUNDAY,Gazetted Holiday
26-03-2013,Holika Dahana,MONDAY,Restricted Holiday
27-03-2013,Holi,WEDNESDAY,Gazetted Holiday
29-03-2013,Good Friday,FRIDAY,Gazetted Holiday
31-03-2013,Easter Day,SUNDAY,Restricted Holiday
14-04-2013,Ambedkar Jayanti,SUNDAY,Observance
19-04-2013,Rama Navami,FRIDAY,Gazetted Holiday
24-04-2013,Mahavir Jayanti,WEDNESDAY,Gazetted Holiday
01-05-2013,May Day,WEDNESDAY,Observance
12-05-2013,Mother's Day,SUNDAY,Observance
25-05-2013,Buddha Purnima/Vesak,SATURDAY,Gazetted Holiday
16-06-2013,Father's Day,SUNDAY,Observance
22-07-2013,Guru Purnima,MONDAY,Observance
02-08-2013,Jamat Ul-Vida,FRIDAY,Restricted Holiday
04-08-2013,Friendship Day,SUNDAY,Observance
